,equity_equal_weight__base,equity_equal_weight__tilt,equity_min_variance__base,equity_min_variance__tilt,equity_max_sharpe__base,equity_max_sharpe__tilt,equity_risk_parity__base,equity_risk_parity__tilt,combined_equal_weight__base,combined_equal_weight__tilt,combined_min_variance__base,combined_min_variance__tilt,combined_max_sharpe__base,combined_max_sharpe__tilt,combined_risk_parity__base,combined_risk_parity__tilt
2023-07-28,0.004241321399844555,0.004511440915967599,0.002614530753720139,0.0025089566313472996,0.0002080216481582466,0.0006659688238983114,0.0031334918054618925,0.003284979373136714,0.0047782376959451065,0.005041397596524865,0.002786137204419066,0.0027086263386649143,-0.00023239863193579875,8.615049997092383e-05,0.003606061626362049,0.003781521807634208
2023-07-31,0.004314741590100032,0.00401525954749451,-0.0048449327416043055,-0.004926961538981478,-2.8106998877164388e-05,-1.2143940195402727e-05,0.002657564979058307,0.002392583550988641,0.0007234954733570977,0.00019991779067700215,-0.004696845575737975,-0.004845424428997358,-0.0010797040912126725,-0.0012116553157283487,0.0007009593782889805,0.0002991406644791925
2023-08-01,-0.0036317010240047836,-0.003736424061033043,-0.004775619484258189,-0.004633850841558627,-0.009376788288464513,-0.009282986801159507,-0.004640460124958091,-0.004712292041302351,-0.0016767673196569446,-0.0016593122459385987,-0.0046536444428750354,-0.004488506233949082,-0.00838728910430025,-0.008213790672322974,-0.0035542041796162924,-0.003551016922714696
2023-08-02,-0.013699281238668084,-0.013883998301195322,-0.006926843540162808,-0.007177634072025599,-0.012412036236562361,-0.013354421825829915,-0.011457598448952368,-0.011607813913255743,-0.01760722554543934,-0.01797321020028763,-0.006388698009324032,-0.006613794098036932,-0.014926781418144967,-0.01594890022417412,-0.013410963142469793,-0.01367471149221528
2023-08-03,-0.004931584621457254,-0.0050447163761204025,-0.006370521649823091,-0.0066653379476288395,0.003246163496353531,0.0033870175545979682,-0.005634472010015307,-0.005803209500175708,-0.007005576565142809,-0.007212254806956733,-0.006110915854430964,-0.006399369790978622,0.0013181471492412537,0.0012087950755159283,-0.006490354090706892,-0.006700206642315411
2023-08-04,-0.002197023217300111,-0.002333451551769368,-0.005550495797101587,-0.005613240784192252,0.003901702648790655,0.0038376580631641903,-0.0024969693804480324,-0.002787984832155159,-0.0030479980515795663,-0.003206987161297383,-0.004895426724088936,-0.005024189490158992,0.0018870018863983247,0.0015932767118607373,-0.002869381840718518,-0.0031606196997321177
2023-08-07,0.00802041392341124,0.007733361232855459,0.012320200165410758,0.01221111187345585,0.013997211992509055,0.013994461493354357,0.008756726448695825,0.008426510263491808,0.007853063301314753,0.007607316435986976,0.012686947019458026,0.012553992159207427,0.014596017166066943,0.014647830428585853,0.008578186014404292,0.008262588559342147
2023-08-08,-0.003440940743932581,-0.003468071840208959,-0.0035410253320589673,-0.003917272088982863,-0.007146296966259489,-0.007328009287840729,-0.0025523694722773054,-0.002574867515109739,-0.0004139619684981683,-0.0002707690703818486,-0.003295605496338154,-0.003711134895648868,-0.005429213513091356,-0.005324806550183906,-0.0011428047838290473,-0.0010682322469863028
2023-08-09,-0.0019255958226743846,-0.0019901071826845026,0.0019614649261608737,0.002090245070508848,-0.012901108309953018,-0.013579718898241786,-0.0005379329459619889,-0.0005202825333681284,-0.002003905671024901,-0.002061360091203421,0.001913333245762157,0.002045950640284117,-0.012477422369792915,-0.012976121495276275,-0.0006586506634191521,-0.0006472630898585602
2023-08-10,0.0009644399956669524,0.0009095374981595687,-0.00173125912733406,-0.0018490378809761852,0.004576978969654317,0.0043658851742884525,0.0008466384313299117,0.0007884629189191634,-0.0009152087186206452,-0.0010632641368840954,-0.0016081723018553024,-0.0017377734408752497,0.0037200214287017672,0.0033094299034112716,5.27296824181164e-05,-5.606943051128178e-05
2023-08-11,0.001675815022885709,0.0016092178042039218,0.005181463335155715,0.004925693591546187,0.003910733843424226,0.0029052916199650025,0.0029380662114582615,0.0028806590763521952,0.000978953503761197,0.0008859493777652093,0.004887569254396566,0.004633084222105906,0.0030415695159130575,0.002084132800784594,0.0024316620901212176,0.002356171351236254
2023-08-14,0.0017062775996715216,0.001716276003131071,-0.0008692263123340458,-0.001164403841886209,0.017091839297319462,0.018251448195850995,0.0003233597938000192,0.00022221929429371189,0.0017471645415393202,0.0017576416371270043,-0.0009735603186554467,-0.001238564137576289,0.01628674467734122,0.017284523733734635,0.0003529062301771481,0.0002650666302390593
