,equity_equal_weight,equity_min_variance,equity_max_sharpe,equity_risk_parity,crypto_equal_weight,crypto_min_variance,crypto_max_sharpe,crypto_risk_parity,combined_equal_weight,combined_min_variance,combined_max_sharpe,combined_risk_parity
2022-10-05,-0.0032365855896064836,-0.005052898438971222,0.014468133352597012,-0.0051854689533115065,-0.004256612742547319,-0.005128576534603624,-0.011163940853987862,-0.0038456344277282483,-0.0034065901150966225,-0.004517696257177004,0.013781044388757413,-0.005277937001107938
2022-10-06,-0.011450484466690943,-0.010993210929210826,0.002263378933632537,-0.013254710459362532,-0.006072386991168044,-0.004343234343758964,0.006745464888963105,-0.006109090117046157,-0.010554134887437125,-0.009535540062776106,0.001526708083817508,-0.012783453063436954
2022-10-07,-0.023496317394339133,-0.013146174641827064,-0.009775152712310865,-0.02105194269953009,-0.004199723701290223,-0.011067364224329438,-0.011925881310039457,-0.0037220329371311367,-0.020280218445497645,-0.013348169870005543,-0.009753643450662264,-0.01967569889415704
2022-10-08,,,,,-0.0031627007461755177,-0.002156450297673054,-0.019067830132506902,-0.0023407969303454036,,,,
2022-10-09,,,,,0.010305532644744566,0.004854911761020866,0.0005099378453117331,0.010502149461666088,,,,
2022-10-10,-0.0056979257390414656,0.0013970621481824903,-0.01695883117433961,-0.00342405054863284,-0.04378364997925048,-0.012621175741805896,-0.10205848229109572,-0.039809432597521,-0.012045546445742966,0.001379207002120554,-0.016649378996207987,-0.0059246575195605
2022-10-11,-0.0033305028978534044,0.015689319597597173,0.0065397056390779015,-0.000534062630815863,-0.018113253905372405,-0.015349395045241257,-0.020476771027723165,-0.018435024042437857,-0.005794294732439904,0.015788989078417123,0.006803204995936126,-0.0015917071868753582
2022-10-12,-0.005622661763774912,-0.005383829548978057,-0.0016511068437095279,-0.007395302426993856,0.0017588610791762663,0.004491763497643062,0.003744143470001627,0.002055796931615835,-0.0043924079566163825,-0.004867697323490495,-0.0018661477131190212,-0.0069568345698352825
2022-10-13,0.02967841986663329,0.019644075323421193,0.03640538552396964,0.028096981223384346,-0.016872170705753243,-0.00024629993007484717,-0.03423044041768242,-0.015624185573222746,0.021919988104568862,0.019283942131665486,0.036370811074729455,0.024820864734428703
2022-10-14,-0.01841214369489535,-0.011507694915252146,-0.010977036088665418,-0.016188514599943544,0.002402632020752704,0.006599409905027806,0.006974740512235568,0.003053773082555492,-0.014943014408954004,-0.011585417736050424,-0.010576946499940443,-0.01467086140588386
2022-10-15,,,,,-0.007131151020167647,-0.01307042069772531,-0.016660345728548912,-0.007884422186199768,,,,
2022-10-16,,,,,0.011621146466186614,0.00819727752482793,0.015459436316509478,0.011349364098210156,,,,
2022-10-17,0.0200606025838804,0.012302848680080804,0.010705980556424605,0.01862439448376161,0.011846976355508422,0.013489125582466763,0.03128580567110695,0.011362958019972799,0.018691664879151734,0.012133467491149163,0.01068437049463125,0.01799601550882263
